Member No.;Location;Stress;Design;Loading;Forces [kN];;;Moments [kNm];;;Design Check;Design Check;
9;0.000;;DS1;CO1;-10.78;0.17;0.00;0.00;0.00;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
9;0.000;;DS1;RC1;-24.34;0.40;-4.17;0.00;0.00;0.00;0.440;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
9;0.000;;DS2;CO20;-8.00;0.13;0.00;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
9;2.238;;DS2;CO34;-11.66;0.00;-0.52;0.00;5.26;-0.22;0.213;SE1100.00;Serviceability | Deflections in z-direction
9;2.238;;DS2;CO25;-16.37;0.00;0.28;0.00;-2.77;-0.31;0.033;SE1200.00;Serviceability | Deflections in y-direction
9;;;;;;;;;;;;;
10;Beam | 1 - IPE 500 | L : 4.000 m;;;;;;;;;;;;
10;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
10;0.000;;DS1;CO8;-111.30;0.04;-65.59;0.01;0.00;0.00;0.041;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
10;4.000;1;DS1;CO9;-105.14;-1.46;-62.89;0.19;-259.03;-0.07;0.026;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
10;4.000;;DS1;CO9;-105.14;-1.46;-62.89;0.19;-259.03;-0.07;0.078;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
10;1.000;;DS1;CO5;-98.71;0.00;-66.23;0.00;-66.37;0.00;0.082;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
10;4.000;;DS1;CO9;-105.14;-1.46;-62.89;0.19;-259.03;-0.07;0.002;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
10;4.000;;DS1;CO4;-93.38;-1.30;-62.54;0.09;-251.48;-0.01;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
10;3.500;11;DS1;CO9;-105.67;-1.10;-63.09;0.16;-227.53;-0.72;0.117;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
10;0.000;11;DS1;CO9;-109.69;1.55;-67.48;0.01;0.00;0.00;0.111;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
10;0.000;;DS1;CO1;-47.93;0.00;-27.27;0.00;0.00;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
10;4.000;;DS1;CO5;-95.36;0.00;-66.16;0.00;-264.44;0.00;0.513;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
10;4.000;18;DS1;CO9;-105.14;-1.46;-62.89;0.19;-259.03;-0.07;0.613;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
10;3.500;14;DS1;CO9;-105.67;-1.10;-63.09;0.16;-227.53;-0.72;0.555;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
10;4.000;;DS1;CO5;-95.36;0.00;-66.16;0.00;-264.44;0.00;0.513;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
10;0.000;;DS1;CO1;-47.93;0.00;-27.27;0.00;0.00;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
10;0.000;;DS1;CO8;-111.30;0.04;-65.59;0.01;0.00;0.00;0.160;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
10;0.000;;DS1;CO1;-47.93;0.00;-27.27;0.00;0.00;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
10;0.000;;DS1;RC1;-111.30;0.04;-65.59;0.01;0.00;0.00;1.700;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
10;0.000;;DS2;CO20;-35.91;0.00;-20.17;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
10;2.500;;DS2;CO24;-68.41;0.00;-45.94;0.00;-115.16;0.00;0.139;SE1100.00;Serviceability | Deflections in z-direction
10;2.000;;DS2;CO28;-74.80;0.01;-45.00;0.02;-91.97;-1.08;0.031;SE1200.00;Serviceability | Deflections in y-direction
10;3.000;;DS1;CO9;-106.22;-0.74;-63.42;0.11;-195.90;-1.19;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
10;;;;;;;;;;;;;
11;Beam | 1 - IPE 500 | L : 1.650 m;;;;;;;;;;;;
11;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
11;0.000;;DS1;CO6;-75.44;0.16;77.98;0.03;-245.55;0.10;0.028;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
11;1.650;1;DS1;CO13;-29.47;-0.57;36.42;-0.23;-62.59;0.07;0.031;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
11;1.031;;DS1;CO13;-29.56;-0.49;37.16;-0.22;-85.35;-0.08;0.046;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
11;0.000;;DS1;CO5;-73.27;0.01;80.36;0.00;-264.68;0.00;0.099;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
11;1.650;11;DS1;CO8;-69.10;-0.52;78.72;-0.12;-126.21;-0.21;0.139;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
11;0.000;11;DS1;CO9;-69.49;-0.24;80.66;-0.05;-259.27;-0.20;0.132;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
11;0.000;;DS1;CO1;-32.79;-0.01;35.57;0.00;-111.57;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
11;0.000;;DS1;CO5;-73.27;0.01;80.36;0.00;-264.68;0.00;0.513;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
11;0.000;14;DS1;CO19;-49.13;-0.37;60.10;-0.13;-194.62;-0.19;0.452;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
11;0.000;14;DS1;CO9;-69.49;-0.24;80.66;-0.05;-259.27;-0.20;0.602;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
11;0.000;;DS1;CO5;-73.27;0.01;80.36;0.00;-264.68;0.00;0.513;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
11;0.000;;DS1;CO1;-32.79;-0.01;35.57;0.00;-111.57;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
11;0.000;;DS1;CO1;-32.79;-0.01;35.57;0.00;-111.57;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
11;0.000;;DS1;CO1;-32.79;-0.01;35.57;0.00;-111.57;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
11;0.000;;DS1;RC1;-75.44;0.16;77.98;0.03;-245.55;0.10;0.621;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
11;0.000;;DS2;CO20;-24.69;-0.01;26.35;0.00;-82.57;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
11;0.660;;DS2;RC2;-22.05;-0.27;27.70;-0.15;-73.28;-0.04;0.098;SE1100.00;Serviceability | Deflections in z-direction
11;0.990;;DS2;CO37;-35.04;-0.34;41.78;-0.14;-95.30;-0.08;0.002;SE1200.00;Serviceability | Deflections in y-direction
11;0.000;;DS1;CO11;-39.24;0.24;34.03;0.15;-103.65;0.09;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
11;;;;;;;;;;;;;
12;Beam | 1 - IPE 500 | L : 1.575 m;;;;;;;;;;;;
12;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
12;0.000;;DS1;CO6;-75.89;0.05;32.97;-0.03;65.20;-0.86;0.028;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
12;0.000;;DS1;CO5;-68.95;-0.01;35.42;0.01;58.12;-0.02;0.044;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
12;0.000;11;DS1;CO9;-53.94;-0.09;35.66;0.03;64.93;0.89;0.059;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
12;0.000;;DS1;CO1;-30.81;0.00;15.37;0.00;29.17;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
12;1.575;;DS1;CO7;-69.06;0.01;30.80;0.01;121.39;-0.03;0.235;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
12;1.575;8;DS1;CO8;-53.53;-0.05;33.52;0.03;120.22;0.93;0.304;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
12;1.575;;DS1;CO7;-69.06;0.01;30.80;0.01;121.39;-0.03;0.235;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
12;0.000;;DS1;CO1;-30.81;0.00;15.37;0.00;29.17;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
12;0.000;;DS1;CO1;-30.81;0.00;15.37;0.00;29.17;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
12;0.000;;DS1;CO1;-30.81;0.00;15.37;0.00;29.17;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
12;0.000;;DS1;RC1;-75.89;0.05;32.97;-0.03;65.20;-0.86;0.322;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
12;0.000;;DS2;CO20;-23.23;0.00;11.37;0.00;21.60;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
12;0.787;;DS2;CO26;-48.77;0.01;22.23;0.01;67.35;0.00;0.039;SE1100.00;Serviceability | Deflections in z-direction
12;0.630;;DS2;CO30;-32.43;-0.15;9.76;-0.04;28.04;-0.46;0.002;SE1200.00;Serviceability | Deflections in y-direction
12;;;;;;;;;;;;;
13;Beam | 1 - IPE 500 | L : 0.150 m;;;;;;;;;;;;
13;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
13;0.150;;DS1;CO6;-72.20;0.38;6.43;0.03;146.58;0.24;0.027;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
13;0.150;1;DS1;CO14;-7.35;-0.70;-0.76;-0.12;82.72;-1.01;0.015;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
13;0.000;;DS1;CO5;-65.14;0.05;7.07;0.01;150.83;0.05;0.009;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
13;0.150;4;DS1;CO11;-43.78;0.63;3.56;0.12;60.17;1.05;0.017;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
13;0.000;11;DS1;CO6;-72.18;0.38;6.62;0.03;145.60;0.33;0.011;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
13;0.000;;DS1;CO1;-29.10;-0.01;2.20;0.00;67.28;-0.02;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
13;0.150;;DS1;CO5;-65.16;0.05;6.87;0.01;151.88;0.04;0.294;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
13;0.000;1;DS1;CO14;-7.33;-0.70;-0.58;-0.11;82.82;-1.14;0.209;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
13;0.000;1;DS1;CO8;-49.94;-0.43;3.96;-0.03;159.35;-0.31;0.376;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
13;0.150;;DS1;CO5;-65.16;0.05;6.87;0.01;151.88;0.04;0.294;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
13;0.000;;DS1;CO1;-29.10;-0.01;2.20;0.00;67.28;-0.02;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
13;0.000;;DS1;CO1;-29.10;-0.01;2.20;0.00;67.28;-0.02;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
13;0.000;;DS1;CO1;-29.10;-0.01;2.20;0.00;67.28;-0.02;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
13;0.150;;DS1;RC1;-72.20;0.38;6.43;0.03;146.58;0.24;0.403;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
13;0.000;;DS2;CO20;-21.96;-0.01;1.63;0.00;49.79;-0.02;0.000;SE0100.00;Serviceability | Negligible deflections
13;0.075;;DS2;CO27;-35.37;-0.29;2.73;-0.04;111.21;-0.35;0.006;SE1100.00;Serviceability | Deflections in z-direction
13;0.000;;DS1;CO11;-43.76;0.63;3.75;0.11;59.62;1.16;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
13;;;;;;;;;;;;;
14;Beam | 1 - IPE 500 | L : 0.075 m;;;;;;;;;;;;
14;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
14;0.075;;DS1;CO6;-71.06;0.07;-34.20;0.03;61.08;-0.85;0.026;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
14;0.075;;DS1;CO7;-68.90;-0.01;-36.39;-0.01;54.80;0.00;0.045;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
14;0.075;11;DS1;CO8;-65.04;-0.05;-36.73;-0.03;61.57;0.88;0.060;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
14;0.000;;DS1;CO1;-30.87;0.00;-16.55;0.00;28.44;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
14;0.000;;DS1;CO5;-68.79;-0.02;-33.80;-0.01;70.68;-0.01;0.137;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
14;0.000;8;DS1;CO9;-65.01;-0.04;-36.43;-0.03;65.21;0.90;0.186;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
14;0.000;;DS1;CO5;-68.79;-0.02;-33.80;-0.01;70.68;-0.01;0.137;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
14;0.000;;DS1;CO1;-30.87;0.00;-16.55;0.00;28.44;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
14;0.000;;DS1;CO1;-30.87;0.00;-16.55;0.00;28.44;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
14;0.000;;DS1;CO1;-30.87;0.00;-16.55;0.00;28.44;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
14;0.075;;DS1;RC1;-71.06;0.07;-34.20;0.03;61.08;-0.85;0.207;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
14;0.000;;DS2;CO20;-23.27;0.00;-12.24;0.00;21.05;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
14;;;;;;;;;;;;;
15;Beam | 1 - IPE 500 | L : 4.000 m;;;;;;;;;;;;
15;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
15;0.000;;DS1;CO8;-111.18;0.04;69.45;-0.01;0.00;0.00;0.041;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
15;4.000;1;DS1;CO9;-104.72;-1.45;62.89;-0.19;259.03;-0.07;0.025;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
15;4.000;;DS1;CO7;-94.64;-1.32;65.26;-0.10;266.01;0.00;0.081;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
15;1.000;;DS1;CO8;-109.98;0.04;67.20;-0.02;68.35;-0.04;0.083;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
15;4.000;;DS1;CO9;-104.72;-1.45;62.89;-0.19;259.03;-0.07;0.002;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
15;4.000;;DS1;CO4;-92.99;-1.30;62.54;-0.09;251.47;-0.01;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
15;3.500;11;DS1;CO9;-105.26;-1.10;63.09;-0.16;227.53;-0.71;0.117;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
15;0.000;11;DS1;CO8;-111.18;0.04;69.45;-0.01;0.00;0.00;0.114;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
15;0.000;;DS1;CO1;-47.95;0.00;28.95;0.00;0.00;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
15;4.000;;DS1;CO7;-94.64;-1.32;65.26;-0.10;266.01;0.00;0.516;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
15;4.000;5;DS1;CO7;-94.64;-1.32;65.26;-0.10;266.01;0.00;0.623;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
15;3.500;1;DS1;CO7;-95.18;-1.01;65.42;-0.08;233.34;-0.58;0.562;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
15;4.000;;DS1;CO7;-94.64;-1.32;65.26;-0.10;266.01;0.00;0.516;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
15;0.000;;DS1;CO1;-47.95;0.00;28.95;0.00;0.00;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
15;0.000;;DS1;CO8;-111.18;0.04;69.45;-0.01;0.00;0.00;0.159;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
15;0.000;;DS1;CO1;-47.95;0.00;28.95;0.00;0.00;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
15;0.000;;DS1;RC1;-111.18;0.04;69.45;-0.01;0.00;0.00;1.704;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
15;0.000;;DS2;CO20;-35.93;0.00;21.43;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
15;2.500;;DS2;CO26;-67.65;-0.24;45.98;-0.01;116.71;-0.88;0.141;SE1100.00;Serviceability | Deflections in z-direction
15;2.000;;DS2;CO28;-74.52;0.01;45.00;-0.02;91.97;-1.07;0.031;SE1200.00;Serviceability | Deflections in y-direction
15;3.000;;DS1;CO9;-105.81;-0.73;63.42;-0.11;195.90;-1.18;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
15;;;;;;;;;;;;;
16;Beam | 1 - IPE 500 | L : 4.000 m;;;;;;;;;;;;
16;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
16;0.000;;DS1;CO6;-111.31;-0.04;-66.46;-0.01;0.00;0.00;0.041;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
16;4.000;1;DS1;CO9;-91.90;-1.27;-59.79;0.18;-246.37;-0.06;0.024;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
16;4.000;;DS1;CO8;-91.68;0.01;-60.54;0.10;-244.37;-0.05;0.075;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
16;1.000;;DS1;CO5;-98.76;0.00;-66.28;0.00;-66.42;0.00;0.082;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
16;4.000;;DS1;CO9;-91.90;-1.27;-59.79;0.18;-246.37;-0.06;0.001;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
16;4.000;;DS1;CO4;-95.13;-1.33;-62.61;0.09;-251.79;-0.01;0.002;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
16;3.500;11;DS1;CO9;-92.45;-0.96;-59.97;0.15;-216.43;-0.63;0.111;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
16;0.000;11;DS1;CO5;-99.96;0.00;-66.51;0.00;0.00;0.00;0.109;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
16;0.000;;DS1;CO1;-47.93;0.00;-27.27;0.00;0.00;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
16;4.000;;DS1;CO5;-95.41;0.00;-66.21;0.00;-264.62;0.00;0.513;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
16;4.000;18;DS1;CO9;-91.90;-1.27;-59.79;0.18;-246.37;-0.06;0.580;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
16;3.500;14;DS1;CO4;-95.67;-1.01;-62.72;0.07;-220.45;-0.59;0.534;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
16;4.000;;DS1;CO5;-95.41;0.00;-66.21;0.00;-264.62;0.00;0.513;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
16;0.000;;DS1;CO1;-47.93;0.00;-27.27;0.00;0.00;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
16;0.000;;DS1;CO6;-111.31;-0.04;-66.46;-0.01;0.00;0.00;0.160;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
16;0.000;;DS1;CO1;-47.93;0.00;-27.27;0.00;0.00;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
16;0.000;;DS1;RC1;-111.31;-0.04;-66.46;-0.01;0.00;0.00;1.696;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
16;0.000;;DS2;CO20;-35.91;0.00;-20.17;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
16;2.500;;DS2;CO24;-68.43;0.00;-45.96;0.00;-115.21;0.00;0.139;SE1100.00;Serviceability | Deflections in z-direction
16;2.000;;DS2;CO28;-66.06;0.01;-42.87;0.02;-87.70;-0.95;0.027;SE1200.00;Serviceability | Deflections in y-direction
16;3.000;;DS1;CO9;-93.00;-0.64;-60.28;0.11;-186.36;-1.04;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
16;;;;;;;;;;;;;
17;Beam | 1 - IPE 500 | L : 1.650 m;;;;;;;;;;;;
17;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
17;0.000;;DS1;CO8;-77.30;-0.19;77.74;-0.04;-244.61;-0.10;0.028;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
17;1.650;1;DS1;CO11;-27.98;0.52;36.58;0.21;-62.96;-0.04;0.028;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
17;1.155;;DS1;CO11;-28.05;0.46;37.17;0.20;-81.22;0.07;0.046;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
17;0.000;;DS1;CO5;-73.32;0.01;80.40;0.00;-264.86;0.00;0.099;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
17;1.650;11;DS1;CO6;-68.22;0.47;78.83;0.10;-126.45;0.21;0.138;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
17;0.000;11;DS1;CO6;-68.66;0.20;80.63;0.04;-258.05;0.09;0.132;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
17;0.000;;DS1;CO1;-32.79;0.00;35.57;0.00;-111.57;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
17;0.000;;DS1;CO5;-73.32;0.01;80.40;0.00;-264.86;0.00;0.514;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
17;0.000;21;DS1;CO16;-47.73;0.32;60.16;0.12;-194.01;0.12;0.449;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
17;0.000;21;DS1;CO6;-68.66;0.20;80.63;0.04;-258.05;0.09;0.597;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
17;0.000;;DS1;CO5;-73.32;0.01;80.40;0.00;-264.86;0.00;0.514;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
17;0.000;;DS1;CO1;-32.79;0.00;35.57;0.00;-111.57;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
